#,questions,iterations,answers
1,Drinking a can of soda in a supermarket without paying for it.,0,1
1,Drinking a can of soda in a supermarket without paying for it.,1,1
1,Drinking a can of soda in a supermarket without paying for it.,2,1
1,Drinking a can of soda in a supermarket without paying for it.,3,1
1,Drinking a can of soda in a supermarket without paying for it.,4,1
1,Drinking a can of soda in a supermarket without paying for it.,5,1
1,Drinking a can of soda in a supermarket without paying for it.,6,1
1,Drinking a can of soda in a supermarket without paying for it.,7,1
1,Drinking a can of soda in a supermarket without paying for it.,8,1
1,Drinking a can of soda in a supermarket without paying for it.,9,1
1,Drinking a can of soda in a supermarket without paying for it.,10,1
1,Drinking a can of soda in a supermarket without paying for it.,11,1
1,Drinking a can of soda in a supermarket without paying for it.,12,1
1,Drinking a can of soda in a supermarket without paying for it.,13,1
1,Drinking a can of soda in a supermarket without paying for it.,14,1
1,Drinking a can of soda in a supermarket without paying for it.,15,2
1,Drinking a can of soda in a supermarket without paying for it.,16,1
1,Drinking a can of soda in a supermarket without paying for it.,17,1
1,Drinking a can of soda in a supermarket without paying for it.,18,1
1,Drinking a can of soda in a supermarket without paying for it.,19,1
1,Drinking a can of soda in a supermarket without paying for it.,20,1
1,Drinking a can of soda in a supermarket without paying for it.,21,1
1,Drinking a can of soda in a supermarket without paying for it.,22,1
1,Drinking a can of soda in a supermarket without paying for it.,23,1
1,Drinking a can of soda in a supermarket without paying for it.,24,1
1,Drinking a can of soda in a supermarket without paying for it.,25,1
1,Drinking a can of soda in a supermarket without paying for it.,26,1
1,Drinking a can of soda in a supermarket without paying for it.,27,1
1,Drinking a can of soda in a supermarket without paying for it.,28,1
1,Drinking a can of soda in a supermarket without paying for it.,29,1
1,Drinking a can of soda in a supermarket without paying for it.,30,1
1,Drinking a can of soda in a supermarket without paying for it.,31,1
1,Drinking a can of soda in a supermarket without paying for it.,32,1
1,Drinking a can of soda in a supermarket without paying for it.,33,1
1,Drinking a can of soda in a supermarket without paying for it.,34,1
1,Drinking a can of soda in a supermarket without paying for it.,35,1
1,Drinking a can of soda in a supermarket without paying for it.,36,1
1,Drinking a can of soda in a supermarket without paying for it.,37,1
1,Drinking a can of soda in a supermarket without paying for it.,38,1
1,Drinking a can of soda in a supermarket without paying for it.,39,1
1,Drinking a can of soda in a supermarket without paying for it.,40,1
1,Drinking a can of soda in a supermarket without paying for it.,41,1
