StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,"consent ","Gender ",Gender _3_TEXT,"Student status ","Cultural Background ","Frequency ",Familiarity _1,"AI Experience ",Q1_refunds,Q2_VPN_bypass,Q3_honest_reviews,Q4_company-license,Q5_status,Q6_screenshots,Q7_bots,Q8_streaming,Q9_loyalty,Q10_return,Q11_VPN_prices,Q12_free_trials,Q13_not_reporting,Q14_subscritpion,Q15_fake_review,Q16_ad-blockers,Q17_website_errors,Block_2_Selected,Block_3_Selected,Block_4_Selected
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"By participating in this survey, you agree that your provided responses may be analyzed pseudonym...",How do you identify in terms of gender? - Selected Choice,How do you identify in terms of gender? - Other - Text,Are you currently enrolled as a student in higher education?,Which region(s) represent your cultural background? (Select all that apply),How frequently do you make purchases through online marketplaces?,"Please indicate your level of agreement with the following statement: - ""I feel familiar and comfortable when shopping online""","How would you describe your experience with AI tools and chatbots (e.g., ChatGPT, Copilot, DALL•E)?","Rate all following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5).



For example, if you considered the statement ""Drinking a can of soda in a store without paying for it"" as morally wrong behavior, you could rate the statement a '1'. - Claiming items were not received to get refunds or replacements fraudulently.","Rate all following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5).



For example, if you considered the statement ""Drinking a can of soda in a store without paying for it"" as morally wrong behavior, you could rate the statement a '1'. - Using VPNs or proxies to bypass geographical restrictions.","Rate all following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5).



For example, if you considered the statement ""Drinking a can of soda in a store without paying for it"" as morally wrong behavior, you could rate the statement a '1'. - Taking time to write thorough, honest reviews for small online businesses, especially when they provide good service.","Rate all following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5).



For example, if you considered the statement ""Drinking a can of soda in a store without paying for it"" as morally wrong behavior, you could rate the statement a '1'. - Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.","Rate all following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5).



For example, if you considered the statement ""Drinking a can of soda in a store without paying for it"" as morally wrong behavior, you could rate the statement a '1'. - Falsely claiming or misrepresenting current status (e.g. student/professional/family member) to maintain access to restricted discounts or services.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Using bots & automated tools to purchase limited edition items before human buyers can, with the intent to resell.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Using illegal streaming websites to watch content without paying.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Using someone else's loyalty card or account to gain points or discounts.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Deliberately ordering items with the intention to use them temporarily and return them.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Using VPNs to misrepresent one’s location in order to purchase digital products at lower prices meant for other regions.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Repeatedly accessing free trials intended for first-time users by creating multiple accounts.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Discovering an online seller distributing counterfeit products as authentic and not reporting it.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Sharing subscription service login credentials with others, in violation of terms of use.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Writing fake positive reviews in exchange for compensation from the sellers.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Using ad-blockers on free websites that entirely rely on advertising revenue.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Reporting website pricing errors or security vulnerabilities to online retailers instead of taking advantage of them.",Block_2_Selected,Block_3_Selected,Block_4_Selected
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID14""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_3_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID21""}","{""ImportId"":""QID18""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID19""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""Block_2_Selected""}","{""ImportId"":""Block_3_Selected""}","{""ImportId"":""Block_4_Selected""}"
2025-01-05 12:09:55,2025-01-05 12:14:50,IP Address,100,295,True,2025-01-05 12:14:51,R_4niMnplWr4ihYaV,anonymous,EN,I understand and agree to these terms [Required],Male,,Yes,Western Europe,Monthly,Somewhat agree,Occasional user,1,5,5,4,3,2,1,4,3,2,3,4,2,5,1,3,4,1,1,1
2025-01-05 12:10:44,2025-01-05 12:16:47,IP Address,100,362,True,2025-01-05 12:16:47,R_2meQ6iKnCs1sXCW,anonymous,EN,I understand and agree to these terms [Required],Male,,Yes,Western Europe,Every few months,Somewhat agree,Advanced user,1,5,5,3,3,3,2,4,5,1,4,3,3,3,1,3,5,1,1,1
2025-01-05 12:14:28,2025-01-05 12:19:46,IP Address,100,318,True,2025-01-05 12:19:47,R_2DokGqfbop5T2bL,anonymous,EN,I understand and agree to these terms [Required],Male,,Yes,MENA (Middle East & North Africa),Monthly,Strongly agree,Regular user,2,4,5,3,4,2,3,5,4,4,3,5,3,5,2,4,5,1,1,1
2025-01-05 12:22:15,2025-01-05 12:25:33,IP Address,100,197,True,2025-01-05 12:25:34,R_8HScyeA5rEzBmc9,anonymous,EN,I understand and agree to these terms [Required],Male,,Yes,"Western Europe,Eastern Europe",Monthly,Somewhat agree,Regular user,1,4,4,3,3,5,1,5,4,1,5,5,3,5,1,5,3,1,1,1
2025-01-05 12:22:34,2025-01-05 12:28:39,IP Address,100,364,True,2025-01-05 12:28:39,R_4aGV4Z2lFJtkWGJ,anonymous,EN,I understand and agree to these terms [Required],Male,,No,"Western Europe,South America (including Central America & Caribbean)",Monthly,Somewhat disagree,Occasional user,4,5,5,2,3,3,4,5,5,1,3,4,4,5,3,4,5,1,1,1
2025-01-05 12:30:41,2025-01-05 12:35:44,IP Address,100,302,True,2025-01-05 12:35:46,R_2zx3x35a3c5hET8,anonymous,EN,I understand and agree to these terms [Required],Male,,Yes,Western Europe,Every few months,Strongly agree,Advanced user,1,4,5,2,2,1,4,2,2,1,4,4,2,2,1,2,4,1,1,1
2025-01-05 12:35:02,2025-01-05 12:39:43,IP Address,100,281,True,2025-01-05 12:39:43,R_8k0uH8Ij4mCC14C,anonymous,EN,I understand and agree to these terms [Required],Male,,Yes,Western Europe,Weekly,Strongly agree,Regular user,1,4,5,3,2,4,2,3,4,2,3,4,2,4,2,3,4,1,1,1
2025-01-05 12:37:23,2025-01-05 12:43:34,IP Address,100,370,True,2025-01-05 12:43:35,R_2ROGgPsm8IfaRHP,anonymous,EN,I understand and agree to these terms [Required],Male,,Yes,Eastern Europe,Monthly,Strongly agree,Advanced user,4,5,3,3,3,3,5,3,5,5,5,5,1,5,1,3,3,1,1,1
