#,Question,Iteration,Response
1,Returning damaged goods when the damage was your own fault,0,1
1,Returning damaged goods when the damage was your own fault,1,1
1,Returning damaged goods when the damage was your own fault,2,1
1,Returning damaged goods when the damage was your own fault,3,1
1,Returning damaged goods when the damage was your own fault,4,1
1,Returning damaged goods when the damage was your own fault,5,1
1,Returning damaged goods when the damage was your own fault,6,2
1,Returning damaged goods when the damage was your own fault,7,1
1,Returning damaged goods when the damage was your own fault,8,1
1,Returning damaged goods when the damage was your own fault,9,1
1,Returning damaged goods when the damage was your own fault,10,1
1,Returning damaged goods when the damage was your own fault,11,1
1,Returning damaged goods when the damage was your own fault,12,2
1,Returning damaged goods when the damage was your own fault,13,1
1,Returning damaged goods when the damage was your own fault,14,1
1,Returning damaged goods when the damage was your own fault,15,1
1,Returning damaged goods when the damage was your own fault,16,2
1,Returning damaged goods when the damage was your own fault,17,1
1,Returning damaged goods when the damage was your own fault,18,1
1,Returning damaged goods when the damage was your own fault,19,1
1,Returning damaged goods when the damage was your own fault,20,1
1,Returning damaged goods when the damage was your own fault,21,2
1,Returning damaged goods when the damage was your own fault,22,1
1,Returning damaged goods when the damage was your own fault,23,1
1,Returning damaged goods when the damage was your own fault,24,2
1,Returning damaged goods when the damage was your own fault,25,1
1,Returning damaged goods when the damage was your own fault,26,1
1,Returning damaged goods when the damage was your own fault,27,1
1,Returning damaged goods when the damage was your own fault,28,1
1,Returning damaged goods when the damage was your own fault,29,1
1,Returning damaged goods when the damage was your own fault,30,2
1,Returning damaged goods when the damage was your own fault,31,1
1,Returning damaged goods when the damage was your own fault,32,1
1,Returning damaged goods when the damage was your own fault,33,1
1,Returning damaged goods when the damage was your own fault,34,1
1,Returning damaged goods when the damage was your own fault,35,1
1,Returning damaged goods when the damage was your own fault,36,2
1,Returning damaged goods when the damage was your own fault,37,1
1,Returning damaged goods when the damage was your own fault,38,1
1,Returning damaged goods when the damage was your own fault,39,2
1,Returning damaged goods when the damage was your own fault,40,1
1,Returning damaged goods when the damage was your own fault,41,1
1,Returning damaged goods when the damage was your own fault,42,1
1,Returning damaged goods when the damage was your own fault,43,1
1,Returning damaged goods when the damage was your own fault,44,1
1,Returning damaged goods when the damage was your own fault,45,1
1,Returning damaged goods when the damage was your own fault,46,1
1,Returning damaged goods when the damage was your own fault,47,1
1,Returning damaged goods when the damage was your own fault,48,1
1,Returning damaged goods when the damage was your own fault,49,1
1,Returning damaged goods when the damage was your own fault,50,1
1,Returning damaged goods when the damage was your own fault,51,1
1,Returning damaged goods when the damage was your own fault,52,1
1,Returning damaged goods when the damage was your own fault,53,2
1,Returning damaged goods when the damage was your own fault,54,1
1,Returning damaged goods when the damage was your own fault,55,1
1,Returning damaged goods when the damage was your own fault,56,1
1,Returning damaged goods when the damage was your own fault,57,2
1,Returning damaged goods when the damage was your own fault,58,1
1,Returning damaged goods when the damage was your own fault,59,1
1,Returning damaged goods when the damage was your own fault,60,1
1,Returning damaged goods when the damage was your own fault,61,1
1,Returning damaged goods when the damage was your own fault,62,2
1,Returning damaged goods when the damage was your own fault,63,1
1,Returning damaged goods when the damage was your own fault,64,1
1,Returning damaged goods when the damage was your own fault,65,1
1,Returning damaged goods when the damage was your own fault,66,1
1,Returning damaged goods when the damage was your own fault,67,1
1,Returning damaged goods when the damage was your own fault,68,1
1,Returning damaged goods when the damage was your own fault,69,2
1,Returning damaged goods when the damage was your own fault,70,1
1,Returning damaged goods when the damage was your own fault,71,1
1,Returning damaged goods when the damage was your own fault,72,2
1,Returning damaged goods when the damage was your own fault,73,1
1,Returning damaged goods when the damage was your own fault,74,2
1,Returning damaged goods when the damage was your own fault,75,1
1,Returning damaged goods when the damage was your own fault,76,3
