,,,Progress,Duration (in seconds),,RecordedDate,,DistributionChannel,,consent ,Gender ,Gender _3_TEXT,Student status ,Cultural Background ,Frequency ,Familiarity _1,AI Experience ,Q1_refunds,Q2_VPN_bypass,Q3_honest_reviews,Q4_company-license,Q5_status,Q6_screenshots,Q7_bots,Q8_streaming,Q9_loyalty,Q10_return,Q11_VPN_prices,Q12_free_trials,Q13_not_reporting,Q14_subscritpion,Q15_fake_review,Q16_ad-blockers,Q17_website_errors
,,,Progress,Duration (in seconds),,Recorded Date,,Distribution Channel,,"By participating in this survey, you agree that your provided responses may be analyzed pseudonym...",How do you identify in terms of gender? - Selected Choice,How do you identify in terms of gender? - Other - Text,Are you currently enrolled as a student in higher education?,Which region(s) represent your cultural background? (Select all that apply),How frequently do you make purchases through online marketplaces?,"Please indicate your level of agreement with the following statement: - ""I feel familiar and comfortable when shopping online""","How would you describe your experience with AI tools and chatbots (e.g., ChatGPT, Copilot, DALL•E)?","Rate all following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5).



For example, if you considered the statement ""Drinking a can of soda in a store without paying for it"" as morally wrong behavior, you could rate the statement a '1'. - Claiming items were not received to get refunds or replacements fraudulently.","Rate all following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5).



For example, if you considered the statement ""Drinking a can of soda in a store without paying for it"" as morally wrong behavior, you could rate the statement a '1'. - Using VPNs or proxies to bypass geographical restrictions.","Rate all following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5).



For example, if you considered the statement ""Drinking a can of soda in a store without paying for it"" as morally wrong behavior, you could rate the statement a '1'. - Taking time to write thorough, honest reviews for small online businesses, especially when they provide good service.","Rate all following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5).



For example, if you considered the statement ""Drinking a can of soda in a store without paying for it"" as morally wrong behavior, you could rate the statement a '1'. - Continuing to use company-licensed software after employment termination, despite knowing access should have been revoked.","Rate all following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5).



For example, if you considered the statement ""Drinking a can of soda in a store without paying for it"" as morally wrong behavior, you could rate the statement a '1'. - Falsely claiming or misrepresenting current status (e.g. student/professional/family member) to maintain access to restricted discounts or services.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Taking screenshots/recordings of paid content and sharing them with others to help them avoid paying.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Using bots & automated tools to purchase limited edition items before human buyers can, with the intent to resell.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Using illegal streaming websites to watch content without paying.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Using someone else's loyalty card or account to gain points or discounts.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Deliberately ordering items with the intention to use them temporarily and return them.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Using VPNs to misrepresent one’s location in order to purchase digital products at lower prices meant for other regions.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Repeatedly accessing free trials intended for first-time users by creating multiple accounts.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Discovering an online seller distributing counterfeit products as authentic and not reporting it.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Sharing subscription service login credentials with others, in violation of terms of use.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Writing fake positive reviews in exchange for compensation from the sellers.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Using ad-blockers on free websites that entirely rely on advertising revenue.","Rate the following items on a 5 point scale from ""strongly believe that is wrong"" (1) to ""strongly believe that it is not wrong"" (5). - Reporting website pricing errors or security vulnerabilities to online retailers instead of taking advantage of them."
,,,"{""ImportId"":""progress""}","{""ImportId"":""duration""}",,"{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}",,"{""ImportId"":""distributionChannel""}",,"{""ImportId"":""QID14""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_3_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID21""}","{""ImportId"":""QID18""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID19""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}"
,,,100,295,,1/5/25 12:14,,anonymous,,1,1,,1,1,3,4,3,1,5,5,4,3,2,1,4,3,2,3,4,2,5,1,3,4
,,,100,362,,1/5/25 12:16,,anonymous,,1,1,,1,1,4,4,1,1,5,5,3,3,3,2,4,5,1,4,3,3,3,1,3,5
,,,100,318,,1/5/25 12:19,,anonymous,,1,1,,1,5,3,5,2,2,4,5,3,4,2,3,5,4,4,3,5,3,5,2,4,5
,,,100,197,,1/5/25 12:25,,anonymous,,1,1,,1,"1,2",3,4,2,1,4,4,3,3,5,1,5,4,1,5,5,3,5,1,5,3
,,,100,364,,1/5/25 12:28,,anonymous,,1,1,,2,"1,4",3,2,3,4,5,5,2,3,3,4,5,5,1,3,4,4,5,3,4,5
,,,100,302,,1/5/25 12:35,,anonymous,,1,1,,1,1,4,5,1,1,4,5,2,2,1,4,2,2,1,4,4,2,2,1,2,4
,,,100,281,,1/5/25 12:39,,anonymous,,1,1,,1,1,2,5,2,1,4,5,3,2,4,2,3,4,2,3,4,2,4,2,3,4
,,,100,370,,1/5/25 12:43,,anonymous,,1,1,,1,2,3,5,1,4,5,3,3,3,3,5,3,5,5,5,5,1,5,1,3,3
,,,100,274,,1/5/25 12:51,,anonymous,,1,2,,2,1,4,3,1,1,1,3,3,3,4,1,1,1,1,1,1,1,2,1,3,1
,,,100,373,,1/5/25 13:45,,anonymous,,1,1,,1,1,4,4,1,2,5,5,3,3,3,3,4,4,3,4,4,3,4,2,3,5
,,,100,7416,,1/5/25 14:19,,qr,,1,2,,2,1,4,4,5,1,3,5,1,4,2,2,3,5,1,3,2,1,2,1,5,5
,,,100,563,,1/5/25 14:33,,qr,,1,2,,2,1,1,4,3,1,4,5,3,4,4,1,2,5,1,5,4,3,5,1,5,3
,,,100,441,,1/5/25 14:36,,qr,,1,1,,1,1,3,5,3,1,4,5,2,2,2,1,2,3,2,3,3,2,3,2,3,4
,,,100,370,,1/5/25 14:49,,qr,,1,2,,1,1,2,5,4,1,3,5,2,3,2,2,2,3,2,4,4,2,3,1,3,5
,,,100,546,,1/5/25 15:08,,anonymous,,1,2,,1,"1,5",3,1,3,1,3,4,5,5,2,1,4,3,3,3,3,3,3,4,2,5
,,,100,294,,1/5/25 15:14,,anonymous,,1,2,,1,1,3,5,2,2,5,5,4,4,1,1,2,3,1,4,4,1,3,1,3,5
,,,100,255,,1/5/25 15:23,,qr,,1,2,,2,"1,2",4,3,2,1,3,5,2,1,3,1,2,3,1,1,3,1,2,1,2,4
,,,100,1205,,1/5/25 15:47,,qr,,1,2,,2,1,4,2,3,2,4,5,4,4,4,2,4,4,3,4,4,2,4,2,3,5
,,,100,370,,1/5/25 16:33,,qr,,1,2,,2,1,3,4,3,1,4,4,1,1,1,2,2,4,1,2,2,1,3,1,2,3
,,,100,3293,,1/5/25 16:37,,anonymous,,1,1,,2,1,2,5,1,2,5,5,3,4,3,2,4,4,2,4,5,3,3,2,5,5
